Dataset,Emotion,File
CREMA-D,Happy,1024_IOM_HAP_XX
CREMA-D,Neutral,1024_IOM_NEU_XX
CREMA-D,Sad,1024_IOM_SAD_XX
CREMA-D,Angry,1024_ITH_ANG_XX
CREMA-D,Disgust,1024_ITH_DIS_XX
CREMA-D,Fearful,1024_ITH_FEA_XX
CREMA-D,Happy,1024_ITH_HAP_XX
CREMA-D,Neutral,1024_ITH_NEU_XX
CREMA-D,Sad,1024_ITH_SAD_XX
CREMA-D,Angry,1024_ITS_ANG_XX
CREMA-D,Disgust,1024_ITS_DIS_XX
CREMA-D,Fearful,1024_ITS_FEA_XX
CREMA-D,Happy,1024_ITS_HAP_XX
CREMA-D,Neutral,1024_ITS_NEU_XX
CREMA-D,Sad,1024_ITS_SAD_XX
CREMA-D,Angry,1024_IWL_ANG_XX
CREMA-D,Disgust,1024_IWL_DIS_XX
CREMA-D,Fearful,1024_IWL_FEA_XX
CREMA-D,Happy,1024_IWL_HAP_XX
CREMA-D,Neutral,1024_IWL_NEU_XX
CREMA-D,Sad,1024_IWL_SAD_XX
CREMA-D,Angry,1024_IWW_ANG_XX
CREMA-D,Disgust,1024_IWW_DIS_XX
CREMA-D,Fearful,1024_IWW_FEA_XX
CREMA-D,Happy,1024_IWW_HAP_XX
CREMA-D,Neutral,1024_IWW_NEU_XX
CREMA-D,Sad,1024_IWW_SAD_XX
CREMA-D,Angry,1024_MTI_ANG_XX
CREMA-D,Disgust,1024_MTI_DIS_XX
CREMA-D,Fearful,1024_MTI_FEA_XX
CREMA-D,Happy,1024_MTI_HAP_XX
CREMA-D,Neutral,1024_MTI_NEU_XX
CREMA-D,Sad,1024_MTI_SAD_XX
CREMA-D,Angry,1024_TAI_ANG_XX
CREMA-D,Disgust,1024_TAI_DIS_XX
CREMA-D,Fearful,1024_TAI_FEA_XX
CREMA-D,Happy,1024_TAI_HAP_XX
CREMA-D,Neutral,1024_TAI_NEU_XX
CREMA-D,Sad,1024_TAI_SAD_XX
CREMA-D,Angry,1024_TIE_ANG_XX
CREMA-D,Disgust,1024_TIE_DIS_XX
CREMA-D,Fearful,1024_TIE_FEA_XX
CREMA-D,Happy,1024_TIE_HAP_XX
CREMA-D,Neutral,1024_TIE_NEU_XX
CREMA-D,Sad,1024_TIE_SAD_XX
CREMA-D,Angry,1024_TSI_ANG_XX
CREMA-D,Disgust,1024_TSI_DIS_XX
CREMA-D,Fearful,1024_TSI_FEA_XX
CREMA-D,Happy,1024_TSI_HAP_XX
CREMA-D,Neutral,1024_TSI_NEU_XX
CREMA-D,Sad,1024_TSI_SAD_XX
CREMA-D,Angry,1024_WSI_ANG_XX
CREMA-D,Disgust,1024_WSI_DIS_XX
CREMA-D,Fearful,1024_WSI_FEA_XX
CREMA-D,Happy,1024_WSI_HAP_XX
CREMA-D,Neutral,1024_WSI_NEU_XX
CREMA-D,Sad,1024_WSI_SAD_XX
CREMA-D,Angry,1025_DFA_ANG_XX
CREMA-D,Disgust,1025_DFA_DIS_XX
CREMA-D,Fearful,1025_DFA_FEA_XX
CREMA-D,Happy,1025_DFA_HAP_XX
CREMA-D,Neutral,1025_DFA_NEU_XX
CREMA-D,Sad,1025_DFA_SAD_XX
CREMA-D,Angry,1025_IEO_ANG_HI
CREMA-D,Angry,1025_IEO_ANG_LO
CREMA-D,Angry,1025_IEO_ANG_MD
CREMA-D,Disgust,1025_IEO_DIS_HI
CREMA-D,Disgust,1025_IEO_DIS_LO
CREMA-D,Disgust,1025_IEO_DIS_MD
CREMA-D,Fearful,1025_IEO_FEA_HI
CREMA-D,Fearful,1025_IEO_FEA_LO
CREMA-D,Fearful,1025_IEO_FEA_MD
CREMA-D,Happy,1025_IEO_HAP_HI
CREMA-D,Happy,1025_IEO_HAP_LO
CREMA-D,Happy,1025_IEO_HAP_MD
CREMA-D,Neutral,1025_IEO_NEU_XX
CREMA-D,Sad,1025_IEO_SAD_HI
CREMA-D,Sad,1025_IEO_SAD_LO
CREMA-D,Sad,1025_IEO_SAD_MD
CREMA-D,Angry,1025_IOM_ANG_XX
CREMA-D,Disgust,1025_IOM_DIS_XX
CREMA-D,Fearful,1025_IOM_FEA_XX
CREMA-D,Happy,1025_IOM_HAP_XX
CREMA-D,Neutral,1025_IOM_NEU_XX
CREMA-D,Sad,1025_IOM_SAD_XX
CREMA-D,Angry,1025_ITH_ANG_XX
CREMA-D,Disgust,1025_ITH_DIS_XX
CREMA-D,Fearful,1025_ITH_FEA_XX
CREMA-D,Happy,1025_ITH_HAP_XX
CREMA-D,Neutral,1025_ITH_NEU_XX
CREMA-D,Sad,1025_ITH_SAD_XX
CREMA-D,Angry,1025_ITS_ANG_XX
CREMA-D,Disgust,1025_ITS_DIS_XX
CREMA-D,Fearful,1025_ITS_FEA_XX
CREMA-D,Happy,1025_ITS_HAP_XX
CREMA-D,Neutral,1025_ITS_NEU_XX
CREMA-D,Sad,1025_ITS_SAD_XX
CREMA-D,Angry,1025_IWL_ANG_XX
CREMA-D,Disgust,1025_IWL_DIS_XX
CREMA-D,Fearful,1025_IWL_FEA_XX
CREMA-D,Happy,1025_IWL_HAP_XX
CREMA-D,Neutral,1025_IWL_NEU_XX
CREMA-D,Sad,1025_IWL_SAD_XX
CREMA-D,Angry,1025_IWW_ANG_XX
CREMA-D,Disgust,1025_IWW_DIS_XX
CREMA-D,Fearful,1025_IWW_FEA_XX
CREMA-D,Happy,1025_IWW_HAP_XX
CREMA-D,Neutral,1025_IWW_NEU_XX
CREMA-D,Sad,1025_IWW_SAD_XX
CREMA-D,Angry,1025_MTI_ANG_XX
CREMA-D,Disgust,1025_MTI_DIS_XX
CREMA-D,Fearful,1025_MTI_FEA_XX
CREMA-D,Happy,1025_MTI_HAP_XX
CREMA-D,Neutral,1025_MTI_NEU_XX
CREMA-D,Sad,1025_MTI_SAD_XX
CREMA-D,Angry,1025_TAI_ANG_XX
CREMA-D,Disgust,1025_TAI_DIS_XX
CREMA-D,Fearful,1025_TAI_FEA_XX
CREMA-D,Happy,1025_TAI_HAP_XX
CREMA-D,Neutral,1025_TAI_NEU_XX
CREMA-D,Sad,1025_TAI_SAD_XX
CREMA-D,Angry,1025_TIE_ANG_XX
CREMA-D,Disgust,1025_TIE_DIS_XX
CREMA-D,Fearful,1025_TIE_FEA_XX
CREMA-D,Happy,1025_TIE_HAP_XX
CREMA-D,Neutral,1025_TIE_NEU_XX
CREMA-D,Sad,1025_TIE_SAD_XX
CREMA-D,Angry,1025_TSI_ANG_XX
CREMA-D,Disgust,1025_TSI_DIS_XX
CREMA-D,Fearful,1025_TSI_FEA_XX
CREMA-D,Happy,1025_TSI_HAP_XX
CREMA-D,Neutral,1025_TSI_NEU_XX
CREMA-D,Sad,1025_TSI_SAD_XX
CREMA-D,Angry,1025_WSI_ANG_XX
CREMA-D,Disgust,1025_WSI_DIS_XX
CREMA-D,Fearful,1025_WSI_FEA_XX
CREMA-D,Happy,1025_WSI_HAP_XX
CREMA-D,Neutral,1025_WSI_NEU_XX
CREMA-D,Sad,1025_WSI_SAD_XX
CREMA-D,Angry,1026_DFA_ANG_XX
CREMA-D,Disgust,1026_DFA_DIS_XX
CREMA-D,Fearful,1026_DFA_FEA_XX
CREMA-D,Happy,1026_DFA_HAP_XX
CREMA-D,Neutral,1026_DFA_NEU_XX
CREMA-D,Sad,1026_DFA_SAD_XX
CREMA-D,Angry,1026_IEO_ANG_HI
CREMA-D,Angry,1026_IEO_ANG_LO
CREMA-D,Angry,1026_IEO_ANG_MD
CREMA-D,Disgust,1026_IEO_DIS_HI
CREMA-D,Disgust,1026_IEO_DIS_LO
CREMA-D,Disgust,1026_IEO_DIS_MD
CREMA-D,Fearful,1026_IEO_FEA_HI
CREMA-D,Fearful,1026_IEO_FEA_LO
CREMA-D,Fearful,1026_IEO_FEA_MD
CREMA-D,Happy,1026_IEO_HAP_HI
CREMA-D,Happy,1026_IEO_HAP_LO
CREMA-D,Happy,1026_IEO_HAP_MD
CREMA-D,Neutral,1026_IEO_NEU_XX
CREMA-D,Sad,1026_IEO_SAD_HI
CREMA-D,Sad,1026_IEO_SAD_LO
CREMA-D,Sad,1026_IEO_SAD_MD
CREMA-D,Angry,1026_IOM_ANG_XX
CREMA-D,Disgust,1026_IOM_DIS_XX
CREMA-D,Fearful,1026_IOM_FEA_XX
CREMA-D,Happy,1026_IOM_HAP_XX
CREMA-D,Neutral,1026_IOM_NEU_XX
CREMA-D,Sad,1026_IOM_SAD_XX
CREMA-D,Angry,1026_ITH_ANG_XX
CREMA-D,Disgust,1026_ITH_DIS_XX
CREMA-D,Fearful,1026_ITH_FEA_XX
CREMA-D,Happy,1026_ITH_HAP_XX
CREMA-D,Neutral,1026_ITH_NEU_XX
CREMA-D,Sad,1026_ITH_SAD_XX
CREMA-D,Angry,1026_ITS_ANG_XX
CREMA-D,Disgust,1026_ITS_DIS_XX
CREMA-D,Fearful,1026_ITS_FEA_XX
CREMA-D,Happy,1026_ITS_HAP_XX
CREMA-D,Neutral,1026_ITS_NEU_XX
CREMA-D,Sad,1026_ITS_SAD_XX
CREMA-D,Angry,1026_IWL_ANG_XX
CREMA-D,Disgust,1026_IWL_DIS_XX
CREMA-D,Fearful,1026_IWL_FEA_XX
CREMA-D,Happy,1026_IWL_HAP_XX
CREMA-D,Neutral,1026_IWL_NEU_XX
CREMA-D,Sad,1026_IWL_SAD_XX
CREMA-D,Angry,1026_IWW_ANG_XX
CREMA-D,Disgust,1026_IWW_DIS_XX
CREMA-D,Fearful,1026_IWW_FEA_XX
CREMA-D,Happy,1026_IWW_HAP_XX
CREMA-D,Neutral,1026_IWW_NEU_XX
CREMA-D,Sad,1026_IWW_SAD_XX
CREMA-D,Angry,1026_MTI_ANG_XX
CREMA-D,Disgust,1026_MTI_DIS_XX
CREMA-D,Fearful,1026_MTI_FEA_XX
CREMA-D,Happy,1026_MTI_HAP_XX
CREMA-D,Neutral,1026_MTI_NEU_XX
CREMA-D,Sad,1026_MTI_SAD_XX
CREMA-D,Angry,1026_TAI_ANG_XX
CREMA-D,Disgust,1026_TAI_DIS_XX
CREMA-D,Fearful,1026_TAI_FEA_XX
CREMA-D,Happy,1026_TAI_HAP_XX
CREMA-D,Neutral,1026_TAI_NEU_XX
CREMA-D,Sad,1026_TAI_SAD_XX
CREMA-D,Angry,1026_TIE_ANG_XX
CREMA-D,Disgust,1026_TIE_DIS_XX
CREMA-D,Fearful,1026_TIE_FEA_XX
CREMA-D,Happy,1026_TIE_HAP_XX
CREMA-D,Neutral,1026_TIE_NEU_XX
CREMA-D,Sad,1026_TIE_SAD_XX
CREMA-D,Angry,1026_TSI_ANG_XX
CREMA-D,Disgust,1026_TSI_DIS_XX
CREMA-D,Fearful,1026_TSI_FEA_XX
CREMA-D,Happy,1026_TSI_HAP_XX
CREMA-D,Neutral,1026_TSI_NEU_XX
CREMA-D,Sad,1026_TSI_SAD_XX
CREMA-D,Angry,1026_WSI_ANG_XX
CREMA-D,Disgust,1026_WSI_DIS_XX
CREMA-D,Fearful,1026_WSI_FEA_XX
CREMA-D,Happy,1026_WSI_HAP_XX
CREMA-D,Neutral,1026_WSI_NEU_XX
CREMA-D,Sad,1026_WSI_SAD_XX
CREMA-D,Angry,1027_DFA_ANG_XX
CREMA-D,Disgust,1027_DFA_DIS_XX
CREMA-D,Fearful,1027_DFA_FEA_XX
CREMA-D,Happy,1027_DFA_HAP_XX
CREMA-D,Neutral,1027_DFA_NEU_XX
CREMA-D,Sad,1027_DFA_SAD_XX
CREMA-D,Angry,1027_IEO_ANG_HI
CREMA-D,Angry,1027_IEO_ANG_LO
CREMA-D,Angry,1027_IEO_ANG_MD
CREMA-D,Disgust,1027_IEO_DIS_HI
CREMA-D,Disgust,1027_IEO_DIS_LO
CREMA-D,Disgust,1027_IEO_DIS_MD
CREMA-D,Fearful,1027_IEO_FEA_HI
CREMA-D,Fearful,1027_IEO_FEA_LO
CREMA-D,Fearful,1027_IEO_FEA_MD
CREMA-D,Happy,1027_IEO_HAP_HI
CREMA-D,Happy,1027_IEO_HAP_LO
CREMA-D,Happy,1027_IEO_HAP_MD
CREMA-D,Neutral,1027_IEO_NEU_XX
CREMA-D,Sad,1027_IEO_SAD_HI
CREMA-D,Sad,1027_IEO_SAD_LO
CREMA-D,Sad,1027_IEO_SAD_MD
CREMA-D,Angry,1027_IOM_ANG_XX
CREMA-D,Disgust,1027_IOM_DIS_XX
CREMA-D,Fearful,1027_IOM_FEA_XX
CREMA-D,Happy,1027_IOM_HAP_XX
CREMA-D,Neutral,1027_IOM_NEU_XX
CREMA-D,Sad,1027_IOM_SAD_XX
CREMA-D,Angry,1027_ITH_ANG_XX
CREMA-D,Disgust,1027_ITH_DIS_XX
CREMA-D,Fearful,1027_ITH_FEA_XX
CREMA-D,Happy,1027_ITH_HAP_XX
CREMA-D,Neutral,1027_ITH_NEU_XX
CREMA-D,Sad,1027_ITH_SAD_XX
CREMA-D,Angry,1027_ITS_ANG_XX
CREMA-D,Disgust,1027_ITS_DIS_XX
CREMA-D,Fearful,1027_ITS_FEA_XX
CREMA-D,Happy,1027_ITS_HAP_XX
CREMA-D,Neutral,1027_ITS_NEU_XX
CREMA-D,Sad,1027_ITS_SAD_XX
CREMA-D,Angry,1027_IWL_ANG_XX
CREMA-D,Disgust,1027_IWL_DIS_XX
CREMA-D,Fearful,1027_IWL_FEA_XX
CREMA-D,Happy,1027_IWL_HAP_XX
CREMA-D,Neutral,1027_IWL_NEU_XX
CREMA-D,Sad,1027_IWL_SAD_XX
CREMA-D,Angry,1027_IWW_ANG_XX
CREMA-D,Disgust,1027_IWW_DIS_XX
CREMA-D,Fearful,1027_IWW_FEA_XX
CREMA-D,Happy,1027_IWW_HAP_XX
CREMA-D,Neutral,1027_IWW_NEU_XX
CREMA-D,Sad,1027_IWW_SAD_XX
CREMA-D,Angry,1027_MTI_ANG_XX
CREMA-D,Disgust,1027_MTI_DIS_XX
CREMA-D,Fearful,1027_MTI_FEA_XX
CREMA-D,Happy,1027_MTI_HAP_XX
CREMA-D,Neutral,1027_MTI_NEU_XX
CREMA-D,Sad,1027_MTI_SAD_XX
CREMA-D,Angry,1027_TAI_ANG_XX
CREMA-D,Disgust,1027_TAI_DIS_XX
CREMA-D,Fearful,1027_TAI_FEA_XX
CREMA-D,Happy,1027_TAI_HAP_XX
CREMA-D,Neutral,1027_TAI_NEU_XX
CREMA-D,Sad,1027_TAI_SAD_XX
CREMA-D,Angry,1027_TIE_ANG_XX
CREMA-D,Disgust,1027_TIE_DIS_XX
CREMA-D,Fearful,1027_TIE_FEA_XX
CREMA-D,Happy,1027_TIE_HAP_XX
CREMA-D,Neutral,1027_TIE_NEU_XX
CREMA-D,Sad,1027_TIE_SAD_XX
CREMA-D,Angry,1027_TSI_ANG_XX
CREMA-D,Disgust,1027_TSI_DIS_XX
CREMA-D,Fearful,1027_TSI_FEA_XX
CREMA-D,Happy,1027_TSI_HAP_XX
CREMA-D,Neutral,1027_TSI_NEU_XX
CREMA-D,Sad,1027_TSI_SAD_XX
CREMA-D,Angry,1027_WSI_ANG_XX
CREMA-D,Disgust,1027_WSI_DIS_XX
CREMA-D,Fearful,1027_WSI_FEA_XX
CREMA-D,Happy,1027_WSI_HAP_XX
CREMA-D,Neutral,1027_WSI_NEU_XX
CREMA-D,Sad,1027_WSI_SAD_XX
CREMA-D,Angry,1028_DFA_ANG_XX
CREMA-D,Disgust,1028_DFA_DIS_XX
CREMA-D,Fearful,1028_DFA_FEA_XX
CREMA-D,Happy,1028_DFA_HAP_XX
CREMA-D,Neutral,1028_DFA_NEU_XX
CREMA-D,Sad,1028_DFA_SAD_XX
CREMA-D,Angry,1028_IEO_ANG_HI
CREMA-D,Angry,1028_IEO_ANG_LO
CREMA-D,Angry,1028_IEO_ANG_MD
CREMA-D,Disgust,1028_IEO_DIS_HI
CREMA-D,Disgust,1028_IEO_DIS_LO
CREMA-D,Disgust,1028_IEO_DIS_MD
CREMA-D,Fearful,1028_IEO_FEA_HI
CREMA-D,Fearful,1028_IEO_FEA_LO
CREMA-D,Fearful,1028_IEO_FEA_MD
CREMA-D,Happy,1028_IEO_HAP_HI
CREMA-D,Happy,1028_IEO_HAP_LO
CREMA-D,Happy,1028_IEO_HAP_MD
CREMA-D,Neutral,1028_IEO_NEU_XX
CREMA-D,Sad,1028_IEO_SAD_HI
CREMA-D,Sad,1028_IEO_SAD_LO
CREMA-D,Sad,1028_IEO_SAD_MD
CREMA-D,Angry,1028_IOM_ANG_XX
CREMA-D,Disgust,1028_IOM_DIS_XX
CREMA-D,Fearful,1028_IOM_FEA_XX
CREMA-D,Happy,1028_IOM_HAP_XX
CREMA-D,Neutral,1028_IOM_NEU_XX
CREMA-D,Sad,1028_IOM_SAD_XX
CREMA-D,Angry,1028_ITH_ANG_XX
CREMA-D,Disgust,1028_ITH_DIS_XX
CREMA-D,Fearful,1028_ITH_FEA_XX
CREMA-D,Happy,1028_ITH_HAP_XX
CREMA-D,Neutral,1028_ITH_NEU_XX
CREMA-D,Sad,1028_ITH_SAD_XX
CREMA-D,Angry,1028_ITS_ANG_XX
CREMA-D,Disgust,1028_ITS_DIS_XX
CREMA-D,Fearful,1028_ITS_FEA_XX
CREMA-D,Happy,1028_ITS_HAP_XX
CREMA-D,Neutral,1028_ITS_NEU_XX
CREMA-D,Sad,1028_ITS_SAD_XX
CREMA-D,Angry,1028_IWL_ANG_XX
CREMA-D,Disgust,1028_IWL_DIS_XX
CREMA-D,Fearful,1028_IWL_FEA_XX
CREMA-D,Happy,1028_IWL_HAP_XX
CREMA-D,Neutral,1028_IWL_NEU_XX
CREMA-D,Sad,1028_IWL_SAD_XX
CREMA-D,Angry,1028_IWW_ANG_XX
CREMA-D,Disgust,1028_IWW_DIS_XX
CREMA-D,Fearful,1028_IWW_FEA_XX
CREMA-D,Happy,1028_IWW_HAP_XX
CREMA-D,Neutral,1028_IWW_NEU_XX
CREMA-D,Sad,1028_IWW_SAD_XX
CREMA-D,Angry,1028_MTI_ANG_XX
CREMA-D,Disgust,1028_MTI_DIS_XX
CREMA-D,Fearful,1028_MTI_FEA_XX
CREMA-D,Happy,1028_MTI_HAP_XX
CREMA-D,Neutral,1028_MTI_NEU_XX
CREMA-D,Sad,1028_MTI_SAD_XX
CREMA-D,Angry,1028_TAI_ANG_XX
CREMA-D,Disgust,1028_TAI_DIS_XX
CREMA-D,Fearful,1028_TAI_FEA_XX
CREMA-D,Happy,1028_TAI_HAP_XX
CREMA-D,Neutral,1028_TAI_NEU_XX
CREMA-D,Sad,1028_TAI_SAD_XX
CREMA-D,Angry,1028_TIE_ANG_XX
CREMA-D,Disgust,1028_TIE_DIS_XX
CREMA-D,Fearful,1028_TIE_FEA_XX
CREMA-D,Happy,1028_TIE_HAP_XX
CREMA-D,Neutral,1028_TIE_NEU_XX
CREMA-D,Sad,1028_TIE_SAD_XX
CREMA-D,Angry,1028_TSI_ANG_XX
CREMA-D,Disgust,1028_TSI_DIS_XX
CREMA-D,Fearful,1028_TSI_FEA_XX
CREMA-D,Happy,1028_TSI_HAP_XX
CREMA-D,Neutral,1028_TSI_NEU_XX
CREMA-D,Sad,1028_TSI_SAD_XX
CREMA-D,Angry,1028_WSI_ANG_XX
CREMA-D,Disgust,1028_WSI_DIS_XX
CREMA-D,Fearful,1028_WSI_FEA_XX
CREMA-D,Happy,1028_WSI_HAP_XX
CREMA-D,Neutral,1028_WSI_NEU_XX
CREMA-D,Sad,1028_WSI_SAD_XX
CREMA-D,Angry,1029_DFA_ANG_XX
CREMA-D,Disgust,1029_DFA_DIS_XX
CREMA-D,Fearful,1029_DFA_FEA_XX
CREMA-D,Happy,1029_DFA_HAP_XX
CREMA-D,Neutral,1029_DFA_NEU_XX
CREMA-D,Sad,1029_DFA_SAD_XX
CREMA-D,Angry,1029_IEO_ANG_HI
CREMA-D,Angry,1029_IEO_ANG_LO
CREMA-D,Angry,1029_IEO_ANG_MD
CREMA-D,Disgust,1029_IEO_DIS_HI
CREMA-D,Disgust,1029_IEO_DIS_LO
CREMA-D,Disgust,1029_IEO_DIS_MD
CREMA-D,Fearful,1029_IEO_FEA_HI
CREMA-D,Fearful,1029_IEO_FEA_LO
CREMA-D,Fearful,1029_IEO_FEA_MD
CREMA-D,Happy,1029_IEO_HAP_HI
CREMA-D,Happy,1029_IEO_HAP_LO
CREMA-D,Happy,1029_IEO_HAP_MD
CREMA-D,Neutral,1029_IEO_NEU_XX
CREMA-D,Sad,1029_IEO_SAD_HI
CREMA-D,Sad,1029_IEO_SAD_LO
CREMA-D,Sad,1029_IEO_SAD_MD
CREMA-D,Angry,1029_IOM_ANG_XX
CREMA-D,Disgust,1029_IOM_DIS_XX
CREMA-D,Fearful,1029_IOM_FEA_XX
CREMA-D,Happy,1029_IOM_HAP_XX
CREMA-D,Neutral,1029_IOM_NEU_XX
CREMA-D,Sad,1029_IOM_SAD_XX
CREMA-D,Angry,1029_ITH_ANG_XX
CREMA-D,Disgust,1029_ITH_DIS_XX
CREMA-D,Fearful,1029_ITH_FEA_XX
CREMA-D,Happy,1029_ITH_HAP_XX
CREMA-D,Neutral,1029_ITH_NEU_XX
CREMA-D,Sad,1029_ITH_SAD_XX
CREMA-D,Angry,1029_ITS_ANG_XX
CREMA-D,Disgust,1029_ITS_DIS_XX
CREMA-D,Fearful,1029_ITS_FEA_XX
CREMA-D,Happy,1029_ITS_HAP_XX
CREMA-D,Neutral,1029_ITS_NEU_XX
CREMA-D,Sad,1029_ITS_SAD_XX
CREMA-D,Angry,1029_IWL_ANG_XX
CREMA-D,Disgust,1029_IWL_DIS_XX
CREMA-D,Fearful,1029_IWL_FEA_XX
CREMA-D,Happy,1029_IWL_HAP_XX
CREMA-D,Neutral,1029_IWL_NEU_XX
CREMA-D,Sad,1029_IWL_SAD_XX
CREMA-D,Angry,1029_IWW_ANG_XX
CREMA-D,Disgust,1029_IWW_DIS_XX
CREMA-D,Fearful,1029_IWW_FEA_XX
CREMA-D,Happy,1029_IWW_HAP_XX
CREMA-D,Neutral,1029_IWW_NEU_XX
CREMA-D,Sad,1029_IWW_SAD_XX
CREMA-D,Angry,1029_MTI_ANG_XX
CREMA-D,Disgust,1029_MTI_DIS_XX
CREMA-D,Fearful,1029_MTI_FEA_XX
CREMA-D,Happy,1029_MTI_HAP_XX
CREMA-D,Neutral,1029_MTI_NEU_XX
CREMA-D,Sad,1029_MTI_SAD_XX
CREMA-D,Angry,1029_TAI_ANG_XX
CREMA-D,Disgust,1029_TAI_DIS_XX
CREMA-D,Fearful,1029_TAI_FEA_XX
CREMA-D,Happy,1029_TAI_HAP_XX
CREMA-D,Neutral,1029_TAI_NEU_XX
CREMA-D,Sad,1029_TAI_SAD_XX
CREMA-D,Angry,1029_TIE_ANG_XX
CREMA-D,Disgust,1029_TIE_DIS_XX
CREMA-D,Fearful,1029_TIE_FEA_XX
CREMA-D,Happy,1029_TIE_HAP_XX
CREMA-D,Neutral,1029_TIE_NEU_XX
CREMA-D,Sad,1029_TIE_SAD_XX
CREMA-D,Angry,1029_TSI_ANG_XX
CREMA-D,Disgust,1029_TSI_DIS_XX
CREMA-D,Fearful,1029_TSI_FEA_XX
CREMA-D,Happy,1029_TSI_HAP_XX
CREMA-D,Neutral,1029_TSI_NEU_XX
CREMA-D,Sad,1029_TSI_SAD_XX
CREMA-D,Angry,1029_WSI_ANG_XX
CREMA-D,Disgust,1029_WSI_DIS_XX
CREMA-D,Fearful,1029_WSI_FEA_XX
CREMA-D,Happy,1029_WSI_HAP_XX
CREMA-D,Neutral,1029_WSI_NEU_XX
CREMA-D,Sad,1029_WSI_SAD_XX
CREMA-D,Angry,1030_DFA_ANG_XX
CREMA-D,Disgust,1030_DFA_DIS_XX
CREMA-D,Fearful,1030_DFA_FEA_XX
CREMA-D,Happy,1030_DFA_HAP_XX
CREMA-D,Neutral,1030_DFA_NEU_XX
CREMA-D,Sad,1030_DFA_SAD_XX
CREMA-D,Angry,1030_IEO_ANG_HI
CREMA-D,Angry,1030_IEO_ANG_LO
CREMA-D,Angry,1030_IEO_ANG_MD
CREMA-D,Disgust,1030_IEO_DIS_HI
CREMA-D,Disgust,1030_IEO_DIS_LO
CREMA-D,Disgust,1030_IEO_DIS_MD
CREMA-D,Fearful,1030_IEO_FEA_HI
CREMA-D,Fearful,1030_IEO_FEA_LO
CREMA-D,Fearful,1030_IEO_FEA_MD
CREMA-D,Happy,1030_IEO_HAP_HI
CREMA-D,Happy,1030_IEO_HAP_LO
CREMA-D,Happy,1030_IEO_HAP_MD
CREMA-D,Neutral,1030_IEO_NEU_XX
CREMA-D,Sad,1030_IEO_SAD_HI
CREMA-D,Sad,1030_IEO_SAD_LO
CREMA-D,Sad,1030_IEO_SAD_MD
CREMA-D,Angry,1030_IOM_ANG_XX
CREMA-D,Disgust,1030_IOM_DIS_XX
CREMA-D,Fearful,1030_IOM_FEA_XX
CREMA-D,Happy,1030_IOM_HAP_XX
CREMA-D,Neutral,1030_IOM_NEU_XX
CREMA-D,Sad,1030_IOM_SAD_XX
CREMA-D,Angry,1030_ITH_ANG_XX
CREMA-D,Disgust,1030_ITH_DIS_XX
CREMA-D,Fearful,1030_ITH_FEA_XX
CREMA-D,Happy,1030_ITH_HAP_XX
CREMA-D,Neutral,1030_ITH_NEU_XX
CREMA-D,Sad,1030_ITH_SAD_XX
CREMA-D,Angry,1030_ITS_ANG_XX
CREMA-D,Disgust,1030_ITS_DIS_XX
CREMA-D,Fearful,1030_ITS_FEA_XX
CREMA-D,Happy,1030_ITS_HAP_XX
CREMA-D,Neutral,1030_ITS_NEU_XX
CREMA-D,Sad,1030_ITS_SAD_XX
CREMA-D,Angry,1030_IWL_ANG_XX
CREMA-D,Disgust,1030_IWL_DIS_XX
CREMA-D,Fearful,1030_IWL_FEA_XX
CREMA-D,Happy,1030_IWL_HAP_XX
CREMA-D,Neutral,1030_IWL_NEU_XX
CREMA-D,Sad,1030_IWL_SAD_XX
CREMA-D,Angry,1030_IWW_ANG_XX
CREMA-D,Disgust,1030_IWW_DIS_XX
CREMA-D,Fearful,1030_IWW_FEA_XX
CREMA-D,Happy,1030_IWW_HAP_XX
CREMA-D,Neutral,1030_IWW_NEU_XX
CREMA-D,Sad,1030_IWW_SAD_XX
CREMA-D,Angry,1030_MTI_ANG_XX
CREMA-D,Disgust,1030_MTI_DIS_XX
CREMA-D,Fearful,1030_MTI_FEA_XX
CREMA-D,Happy,1030_MTI_HAP_XX
CREMA-D,Neutral,1030_MTI_NEU_XX
CREMA-D,Sad,1030_MTI_SAD_XX
CREMA-D,Angry,1030_TAI_ANG_XX
CREMA-D,Disgust,1030_TAI_DIS_XX
CREMA-D,Fearful,1030_TAI_FEA_XX
CREMA-D,Happy,1030_TAI_HAP_XX
CREMA-D,Neutral,1030_TAI_NEU_XX
CREMA-D,Sad,1030_TAI_SAD_XX
CREMA-D,Angry,1030_TIE_ANG_XX
CREMA-D,Disgust,1030_TIE_DIS_XX
CREMA-D,Fearful,1030_TIE_FEA_XX
CREMA-D,Happy,1030_TIE_HAP_XX
CREMA-D,Neutral,1030_TIE_NEU_XX
CREMA-D,Sad,1030_TIE_SAD_XX
CREMA-D,Angry,1030_TSI_ANG_XX
CREMA-D,Disgust,1030_TSI_DIS_XX
CREMA-D,Fearful,1030_TSI_FEA_XX
CREMA-D,Happy,1030_TSI_HAP_XX
CREMA-D,Neutral,1030_TSI_NEU_XX
CREMA-D,Sad,1030_TSI_SAD_XX
CREMA-D,Angry,1030_WSI_ANG_XX
CREMA-D,Disgust,1030_WSI_DIS_XX
CREMA-D,Fearful,1030_WSI_FEA_XX
CREMA-D,Happy,1030_WSI_HAP_XX
CREMA-D,Neutral,1030_WSI_NEU_XX
